income,age,loan,LTI,default10yr
66155.9251,59.01701507,8106.532131,0.122536751,No
34415.15397,48.1171531,6564.745018,0.190751581,No
57317.17006,63.10804949,8020.953296,0.1399398,No
42709.5342,45.75197235,6103.64226,0.142910532,No
66952.68885,18.58433593,8770.099235,0.1309895,Yes
24904.06414,57.4716071,15.49859844,0.000622332,No
48430.35961,26.80913242,5722.581981,0.118161047,No
24500.14198,32.89754832,2971.00331,0.121264738,Yes
40654.89254,55.49685254,4755.82528,0.116980392,No
25075.87277,39.77637806,1409.230371,0.056198657,No
64131.41537,25.67957535,4351.028971,0.067845516,No
59436.84712,60.47193585,9254.244538,0.155698779,No
61050.34608,26.35504385,5893.264659,0.096531224,No
27267.99546,61.57677582,4759.787581,0.17455583,No
63061.96017,39.20155289,1850.369377,0.029342085,No
50501.72669,28.21836132,3977.287432,0.078755474,No
43548.65471,39.57453035,3935.544453,0.090371206,No
43378.17519,60.84831794,3277.737553,0.075561905,No
20542.36507,61.69057071,3157.44229,0.153703932,No
58887.35755,26.07609302,4965.516066,0.084322277,No
23000.784,31.76135417,1148.118057,0.049916475,No
32197.6207,52.42327992,4244.057136,0.131812756,No
23329.31941,48.57697453,222.6222987,0.009542597,No
27845.80089,51.9706241,4959.921226,0.178120976,No
65301.98403,48.84092177,5465.267886,0.083692218,No
47451.63012,27.03174131,5361.282716,0.112984163,No
63287.03891,36.49697551,9595.286289,0.151615346,No
45727.45987,55.83992185,6376.822949,0.139452814,No
59417.80541,30.8582675,2082.625938,0.035050536,No
58842.89131,54.51094756,10871.18679,0.184749365,No
48528.8528,43.78380863,6155.78467,0.126847933,No
23526.30256,52.67101229,2862.010139,0.121651506,No
67252.90061,38.13190746,4221.303157,0.0627676,No
58886.85129,38.66150424,7271.552032,0.123483458,No
57584.97379,36.67202092,1728.423755,0.030015187,No
26289.97231,20.66677873,341.146966,0.012976315,No
25952.38147,58.1850173,2109.200772,0.081271955,No
32464.09188,50.22500592,4326.705073,0.13327664,No
60921.0631,18.84052576,968.8363827,0.015903143,No
26578.53669,32.67604425,3489.843136,0.131303058,Yes
66260.12156,32.89669307,7035.589107,0.106181349,No
58787.45524,62.64130285,4167.786724,0.070895852,No
62545.70871,49.04043324,4362.905812,0.069755478,No
24381.95345,25.25233071,4227.018986,0.173366707,Yes
67852.10587,47.32189906,5730.588251,0.084457043,No
41725.61286,18.13003836,1185.2147,0.028404968,No
41896.9716,47.25073103,4892.209734,0.116767622,No
44379.72965,50.08867129,1814.335082,0.040882067,No
28416.89938,57.9287193,1788.973736,0.062954572,No
68427.16311,46.30824019,1658.070233,0.02423117,No
35975.79493,35.70865177,6610.366179,0.183744826,No
57596.3541,29.2460566,3344.384401,0.058065905,No
29681.88309,54.95928719,1745.871674,0.058819438,No
51656.93867,47.7150637,7158.13906,0.138570718,No
24912.84268,49.3663712,267.6962986,0.010745313,No
47761.82407,50.09815907,5549.799128,0.116197386,No
22248.1792,23.44362417,4364.975281,0.19619472,Yes
29724.47688,31.9685264,3075.345728,0.103461728,No
52143.82367,20.83763392,2393.099679,0.045894212,No
56577.72286,36.84780068,5947.421721,0.105119496,No
37660.77072,53.74506047,2129.597165,0.056546829,No
