Quarter,Metric Tons
1957Q3,7992
1957Q4,6114
1958Q1,5965
1958Q2,8460
1958Q3,8323
1958Q4,6333
1959Q1,5675
1959Q2,10090
1959Q3,9035
1959Q4,6976
1960Q1,6459
1960Q2,10896
1960Q3,9978
1960Q4,7466
1961Q1,7199
1961Q2,10977
1961Q3,9412
1961Q4,6341
1962Q1,7784
1962Q2,11911
1962Q3,10079
1962Q4,7721
1963Q1,8197
1963Q2,12038
1963Q3,11963
1963Q4,8033
1964Q1,8618
1964Q2,13625
1964Q3,11734
1964Q4,8895
1965Q1,8727
1965Q2,13974
1965Q3,12583
1965Q4,9525
1966Q1,9662
1966Q2,15490
1966Q3,13839
1966Q4,10047
1967Q1,9788
1967Q2,14978
1967Q3,13045
1967Q4,9489
1968Q1,8741
1968Q2,13149
1968Q3,14106
1968Q4,9998
1969Q1,10034
1969Q2,15081
1969Q3,13266
1969Q4,9997
1970Q1,9027
1970Q2,14324
1970Q3,13149
1970Q4,11209
1971Q1,10332
1971Q2,15354
1971Q3,13800
1971Q4,11786
1972Q1,10550
1972Q2,16114
1972Q3,13255
1972Q4,11403
1973Q1,10269
1973Q2,14009
1973Q3,15847
1973Q4,12967
1974Q1,11328
1974Q2,15814
1974Q3,18626
1974Q4,13219
1975Q1,13818
1975Q2,18062
1975Q3,15722
1975Q4,12111
1976Q1,11702
1976Q2,15589
1976Q3,14852
1976Q4,13612
1977Q1,12380
1977Q2,15501
1977Q3,16322
1977Q4,12157
1978Q1,11124
1978Q2,14621
1978Q3,14035
1978Q4,11159
1979Q1,10944
1979Q2,15824
1979Q3,14378
1979Q4,11816
1980Q1,12233
1980Q2,17344
1980Q3,16812
1980Q4,12181
1981Q1,13275
1981Q2,18458
1981Q3,17375
1981Q4,14609
1982Q1,13323
1982Q2,18327
1982Q3,16053
1982Q4,15070
1983Q1,13806
1983Q2,18245
1983Q3,17461
1983Q4,14999
1984Q1,16022
1984Q2,20564
1984Q3,16372
1984Q4,15854
1985Q1,15115
1985Q2,18207
1985Q3,19488
1985Q4,16644
1986Q1,18631
1986Q2,21093
1986Q3,22212
1986Q4,19762
1987Q1,19403
1987Q2,21227
1987Q3,23176
1987Q4,20823
1988Q1,20647
1988Q2,21336
1988Q3,23458
1988Q4,22003
1989Q1,21647
1989Q2,26416
1989Q3,25226
1989Q4,24723
1990Q1,19945
1990Q2,24040
1990Q3,25034
1990Q4,24885
1991Q1,21168
1991Q2,23541
1991Q3,26019
1991Q4,24657
1992Q1,20599
1992Q2,24534
1992Q3,28717
1992Q4,26138
1993Q1,22968
1993Q2,26577
1993Q3,28660
1993Q4,30430
1994Q1,27356
1994Q2,25454
1994Q3,30194
