trial,mass,velocity
A,10,12
A,11,14
B,5,8
B,6,10
A,10.5,13
B,7,11
A,6.7,10.73333333
A,6.257142857,10.56190476
B,5.814285714,10.39047619
B,5.371428571,10.21904762
A,4.928571429,10.04761905
B,4.485714286,9.876190476
A,4.042857143,9.704761905
A,3.6,9.533333333
B,3.157142857,9.361904762
B,2.714285714,9.19047619
A,2.271428571,9.019047619
B,1.828571429,8.847619048
A,1.385714286,8.676190476
A,0.942857143,8.504761905
B,0.5,8.333333333
B,0.057142857,8.161904762
A,-0.385714286,7.99047619
B,-0.828571429,7.819047619
A,-1.271428571,7.647619048
A,-1.714285714,7.476190476
A,-2.157142857,7.304761905
B,-2.6,7.133333333
B,-3.042857143,6.961904762
A,-3.485714286,6.79047619
B,-3.928571429,6.619047619
A,-4.371428571,6.447619048
A,-4.814285714,6.276190476
B,-5.257142857,6.104761905
B,-5.7,5.933333333
A,-6.142857143,5.761904762
B,-6.585714286,5.59047619
A,-7.028571429,5.419047619
A,-7.471428571,5.247619048
B,-7.914285714,5.076190476
B,-8.357142857,4.904761905
A,-8.8,4.733333333
B,-9.242857143,4.561904762
A,-9.685714286,4.39047619
A,-10.12857143,4.219047619
B,-10.57142857,4.047619048
B,-11.01428571,3.876190476
A,-11.45714286,3.704761905
B,-11.9,3.533333333
A,-12.34285714,3.361904762
A,-12.78571429,3.19047619
A,-13.22857143,3.019047619
B,-13.67142857,2.847619048
B,-14.11428571,2.676190476
A,-14.55714286,2.504761905
B,-15,2.333333333
A,-15.44285714,2.161904762
A,-15.88571429,1.99047619
B,-16.32857143,1.819047619
B,-16.77142857,1.647619048
A,-17.21428571,1.476190476
B,-17.65714286,1.304761905
A,-18.1,1.133333333
A,-18.54285714,0.961904762
B,-18.98571429,0.79047619
B,-19.42857143,0.619047619
A,-19.87142857,0.447619048
B,-20.31428571,0.276190476
A,-20.75714286,0.104761905
A,-21.2,-0.066666667
B,-21.64285714,-0.238095238
B,-22.08571429,-0.40952381
A,-22.52857143,-0.580952381
B,-22.97142857,-0.752380952
A,-23.41428571,-0.923809524
A,-23.85714286,-1.095238095
A,-24.3,-1.266666667
B,-24.74285714,-1.438095238
B,-25.18571429,-1.60952381
A,-25.62857143,-1.780952381
B,-26.07142857,-1.952380952
A,-26.51428571,-2.123809524
A,-26.95714286,-2.295238095
B,-27.4,-2.466666667
B,-27.84285714,-2.638095238
A,-28.28571429,-2.80952381
B,-28.72857143,-2.980952381
A,-29.17142857,-3.152380952
A,-29.61428571,-3.323809524
B,-30.05714286,-3.495238095
B,-30.5,-3.666666667
A,-30.94285714,-3.838095238
B,-31.38571429,-4.00952381
A,-31.82857143,-4.180952381
A,-32.27142857,-4.352380952
B,-32.71428571,-4.523809524
B,-33.15714286,-4.695238095
A,-33.6,-4.866666667
B,-34.04285714,-5.038095238
A,-34.48571429,-5.20952381
A,-34.92857143,-5.380952381
A,-35.37142857,-5.552380952
B,-35.81428571,-5.723809524
B,-36.25714286,-5.895238095
A,-36.7,-6.066666667
B,-37.14285714,-6.238095238
A,-37.58571429,-6.40952381
A,-38.02857143,-6.580952381
B,-38.47142857,-6.752380952
B,-38.91428571,-6.923809524
A,-39.35714286,-7.095238095
B,-39.8,-7.266666667
A,-40.24285714,-7.438095238
A,-40.68571429,-7.60952381
B,-41.12857143,-7.780952381
B,-41.57142857,-7.952380952
A,-42.01428571,-8.123809524
B,-42.45714286,-8.295238095
A,-42.9,-8.466666667
A,-43.34285714,-8.638095238
B,-43.78571429,-8.80952381
B,-44.22857143,-8.980952381
A,-44.67142857,-9.152380952
B,-45.11428571,-9.323809524
A,-45.55714286,-9.495238095
A,-46,-9.666666667
