"","ArtID","Artist_No","Category_No","Location_No","Title","Date.Acquired","Condition","Appraised.Value"
"1",1,1,2,1,"Red Rock Mountain","3/19/05","Excellent",18000
"2",2,2,2,1,"Offerings ","5/16/05","Excellent",10000
"3",3,3,3,1,"Spring Flowers","3/20/04","Excellent",2400
"4",4,4,3,2,"Seeking Shelter","10/8/05","Excellent",52000
"5",5,5,2,1,"The Hang","7/16/04","Excellent",8000
"6",6,6,3,1,"House Remembered","8/16/04","Good",700
"7",7,7,4,1,"Homage to the Ancestors","7/17/04","Excellent",1200
"8",8,8,3,1,"End of the Path","8/16/04","Excellent",1900
"9",9,9,3,1,"Amen","12/13/03","Excellent",3000
"10",10,10,3,1,"Untitled (two figures)","9/8/07","Excellent",800
"11",11,11,3,1,"Eve","7/16/04","Excellent",975
"12",12,12,2,1,"Man on horseback","11/10/07","Good",8000
"13",13,13,2,2,"Superstitions","1/10/09","Excellent",78000
"14",14,14,3,3,"Plenty","2/19/05","Excellent",500
"15",15,15,2,1,"Punch","3/19/05","Excellent",10000
"16",16,16,2,1,"Untitled","1/7/06","Excellent",6000
"17",17,17,3,1,"Brittlecone","1/10/04","Excellent",1300
"18",18,18,3,1,"Mountain Scene","1/10/04","Excellent",2500
"19",19,19,2,1,"The White Heart","8/14/05","Excellent",9300
"20",20,20,4,1,"Untitled (Man holding coat)","10/13/07","Excellent",3000
"21",21,13,1,2,"Bead Wall","1/10/04","Excellent",14000
"22",22,21,3,1,"The Cowboy","3/10/07","Excellent",4200
"23",23,22,3,1,"Shooting the Rapids","9/3/04","Excellent",1300
"24",24,23,3,3,"Spirit and Nature","5/16/05","Fair",592
"25",25,24,3,3,"Profile of a Woman","11/11/06","Excellent",625
"26",26,25,2,1,"Untitled (madonna figure)","7/8/06","Good",4000
"27",27,22,4,1,"Mountain Climber","8/16/04","Good",4700
"28",28,1,2,1,"Tired cowboy","5/16/05","Excellent",4700
"29",29,26,2,1,"Horseshoe Falls","8/16/04","Excellent",15000
"30",30,9,3,1,"Ash Bench","1/10/04","Good",13000
"31",31,27,2,1,"Inside/Out","8/16/04","Excellent",3500
"32",32,28,3,1,"Rising Sun","8/16/04","Excellent",2000
"33",33,29,3,1,"Untitled (Woman in abstract)","12/13/08","Excellent",2500
"34",34,13,1,5,"Beaver Pole Jumble","1/10/07","Excellent",28000
"35",35,22,3,1,"Nature/Nurture","8/16/04","Excellent",1300
"36",36,30,3,1,"Blackhaw","1/10/04","Excellent",25500
"37",37,31,3,1,"Floating World","7/18/04","Fair",2350
"38",38,32,3,1,"Spring Flowers","5/10/03","Good",800
"39",39,33,2,3,"Treachery","5/11/04","Excellent",20000
"40",40,22,3,1,"Night on the Praire","9/3/04","Excellent",1300
"41",41,34,2,1,"Night Version","8/16/04","Excellent",3800
"42",42,35,2,1,"Coffee on the Trail","8/9/03","Good",7544
"43",43,9,3,1,"Creosote Bushes","1/10/04","Excellent",18000
"44",44,36,2,1,"Mexican Fiesta","8/16/04","Excellent",14000
"45",45,37,3,1,"Leaf Patterns","8/16/04","Excellent",2100
"46",46,38,3,1,"Immediate Gratification","8/16/04","Good",1500
"47",47,39,4,1,"Medicine Man","8/16/04","Good",2500
"48",48,40,3,1,"Comfy Chair","7/16/05","Excellent",800
"49",49,41,3,4,"Buttercup with Red Lip","1/10/04","Excellent",400
"50",50,32,4,1,"Cattle Ranch","4/19/04","Good",10000
"51",51,42,2,1,"Night Version","8/16/04","Excellent",7000
"52",52,43,2,1,"American Rodeo","5/15/04","Poor",3500
"53",53,17,2,2,"Blue Eyed Indian","1/10/09","Excellent",40000
"54",54,1,2,1,"Snake Charmer","5/16/05","Good",4500
"55",55,44,2,1,"Starlit Evening","1/10/04","Excellent",9500
"56",56,17,3,1,"Cavaralry is Coming","1/10/04","Excellent",1900
"57",57,25,2,1,"Untitled","1/7/06","Fair",4500
